recipe_id,Carbohydrates g,Calories kcal,Fat g,Protein g
715769,71.66,625.07,30.69,19.86
648257,49.5,221.45,0.82,15.21
1095745,72.38,450.17,10.35,20.54
658753,62.82,445.72,16.9,12.75
658515,16.15,232.48,18.01,5.82
648275,13.3,286.28,13.97,28.8
1095740,50.52,442.11,23.98,11.53
1095751,61.45,296.04,1.12,8.92
648190,103.42,648.72,14.93,27.52
656972,59.63,390.41,10.37,16.62
658743,89.57,735.7,30.49,34.09
644885,29.46,132.62,0.37,3.54
647563,48.65,493.69,25.72,22.48
658615,43.38,390.4,17.36,17.99
655400,46.15,452.05,25.74,12.17
656544,43.62,458.59,24.96,20.06
644830,87.69,515.58,13.73,10.29
649850,76.69,789.56,54.21,22.48
637811,83.59,580.32,21.49,11.61
1096168,59.89,331.43,5.2,8.84
640064,66.99,521.94,19.15,21.68
656329,13.37,308.7,22.4,15.53
644205,41.17,349.42,17.4,10.28
1095746,51.68,368.49,14.77,9.16
648118,13.04,180.85,14.66,2.32
641962,19.45,349.0,25.13,17.23
663771,44.88,356.12,15.85,10.08
645020,43.81,328.49,14.61,6.13
654573,39.69,368.2,20.01,8.72
639794,64.11,496.47,25.3,6.54
649147,39.59,367.31,19.98,8.61
658782,24.67,140.96,2.98,3.44
1095817,12.11,204.76,16.21,5.58
632094,82.07,555.83,21.84,12.44
652687,61.4,418.41,12.99,7.15
1005368,24.97,480.8,39.21,8.71
646660,30.73,501.56,38.63,8.67
645187,19.17,162.75,8.32,2.87
663749,14.71,100.83,3.69,2.77
661757,67.11,249.3,0.22,0.5
648715,14.41,205.84,15.32,3.26
640123,74.73,560.44,25.46,9.2
1061943,61.35,480.16,24.08,5.78
633078,8.24,54.35,1.95,1.37
642777,46.92,501.12,27.87,13.99
664470,4.68,132.6,11.94,1.82
637513,7.62,71.63,3.63,2.34
635375,34.8,162.79,1.41,2.84
651758,19.95,100.77,1.33,2.22
1096288,3.4,87.23,6.03,5.25
640395,14.72,106.12,4.88,1.87
1095809,1.09,129.85,13.94,0.03
648119,8.58,70.61,3.75,0.99
1697783,66.71,547.73,21.59,21.91
1095832,28.58,198.65,7.42,4.26
715769,71.66,625.07,30.69,19.86
715495,29.71,219.22,7.56,10.2
715573,68.7,810.53,45.86,33.67
659109,45.08,439.42,18.74,25.67
648279,70.22,460.35,2.93,38.29
648257,49.5,221.45,0.82,15.21
648247,45.85,463.05,7.99,59.7
640819,61.69,472.27,16.57,21.45
1095745,72.38,450.17,10.35,20.54
658753,62.82,445.72,16.9,12.75
664737,57.6,507.53,21.7,24.94
716300,86.65,659.16,23.26,26.82
664565,72.44,379.87,3.91,16.75
658515,16.15,232.48,18.01,5.82
1095742,68.35,332.88,1.15,15.87
715538,69.02,521.13,10.27,35.12
642095,45.59,359.74,11.46,23.22
648275,13.3,286.28,13.97,28.8
632935,87.21,474.34,5.94,13.4
648176,21.01,750.54,52.9,44.93
643471,105.83,685.18,24.12,19.09
638088,101.96,696.42,9.5,44.07
648259,67.17,590.97,31.07,15.13
646549,93.42,527.85,6.9,22.35
1095740,50.52,442.11,23.98,11.53
1095751,61.45,296.04,1.12,8.92
647124,70.35,706.18,41.05,15.85
648190,103.42,648.72,14.93,27.52
656972,59.63,390.41,10.37,16.62
658743,89.57,735.7,30.49,34.09
644885,29.46,132.62,0.37,3.54
657312,74.74,408.53,7.21,13.48
647563,48.65,493.69,25.72,22.48
1096088,60.29,648.85,24.57,49.57
658615,43.38,390.4,17.36,17.99
641893,44.9,704.74,41.26,39.39
656571,48.29,619.33,26.92,45.8
663136,104.96,907.47,35.08,45.65
1697699,61.67,1261.39,98.84,38.27
655400,46.15,452.05,25.74,12.17
648155,24.45,258.24,5.38,30.74
654125,7.09,405.87,17.81,45.07
1046983,21.29,522.5,26.36,53.51
640314,44.11,633.25,30.46,46.33
649270,24.37,514.62,33.47,34.09
651922,62.59,400.7,11.35,15.74
157991,33.62,381.17,20.45,17.9
658632,68.27,413.72,9.12,17.51
638236,43.55,426.91,15.56,29.16
642297,50.26,528.74,28.54,20.73
663366,70.02,476.74,13.25,19.29
634891,43.87,635.43,25.98,53.33
660292,28.6,148.64,1.7,6.7
655847,92.66,825.97,36.57,32.47
656544,43.62,458.59,24.96,20.06
633661,92.74,1265.09,70.66,67.49
652856,30.08,354.96,21.52,11.68
1095810,37.23,610.95,40.84,33.45
648048,41.26,620.06,31.41,40.07
660215,77.13,896.18,46.23,44.95
636610,58.28,640.34,27.99,38.59
644830,87.69,515.58,13.73,10.29
650397,115.75,855.39,22.91,47.42
633884,100.81,867.46,31.49,45.52
649850,76.69,789.56,54.21,22.48
638235,81.04,610.44,10.53,45.75
649292,63.66,588.54,25.31,28.82
637811,83.59,580.32,21.49,11.61
657249,19.08,163.51,6.65,9.34
642325,38.12,355.63,18.42,14.64
662346,75.37,695.82,32.42,27.34
663227,49.8,393.76,14.7,16.14
654928,72.52,885.04,48.75,32.33
631824,29.41,304.0,15.84,16.43
643175,51.23,313.25,8.2,8.28
157375,107.09,956.0,41.41,29.01
648238,32.54,384.68,19.9,20.67
715560,46.75,422.31,15.8,22.07
650119,92.36,673.71,19.27,30.36
654935,99.18,575.63,11.67,19.27
651646,73.12,601.36,23.11,29.17
658024,33.95,356.08,16.49,19.98
662264,85.09,615.78,20.45,26.79
1096168,59.89,331.43,5.2,8.84
657250,30.02,684.33,53.11,22.08
640064,66.99,521.94,19.15,21.68
607953,42.52,750.13,48.41,38.8
648097,10.11,486.75,32.79,37.15
650651,40.21,380.88,8.37,37.24
636360,62.35,545.55,16.84,38.77
638002,25.16,485.66,24.66,38.56
656329,13.37,308.7,22.4,15.53
650045,46.68,428.86,14.27,28.78
649340,46.09,514.65,23.78,32.68
642638,34.38,351.21,16.61,16.76
644205,41.17,349.42,17.4,10.28
649280,31.03,522.67,33.77,27.43
1096012,25.34,372.4,12.87,39.05
1095746,51.68,368.49,14.77,9.16
642293,42.76,824.19,61.55,28.83
716426,29.11,191.51,6.36,6.85
715594,122.29,556.62,1.02,15.18
715497,68.8,440.37,9.87,20.42
644387,10.27,178.97,14.61,3.0
716268,60.45,1204.74,88.69,58.93
716381,70.66,354.47,3.71,23.49
782601,102.94,553.19,7.62,21.45
794349,89.0,524.36,12.01,18.91
715446,86.25,635.57,11.87,49.53
715415,48.41,448.38,19.94,23.28
766453,100.34,778.28,30.55,33.75
716627,86.11,445.69,4.09,19.14
716408,32.25,367.59,12.57,28.44
795751,52.66,647.15,26.0,51.75
640941,19.79,231.87,15.92,7.95
798400,23.47,130.74,2.28,7.01
756814,36.28,293.92,13.1,11.45
729366,103.25,451.99,3.85,14.89
715769,71.66,625.07,30.69,19.86
782600,29.05,487.2,39.34,8.9
642605,61.53,365.28,9.37,12.3
715540,22.61,97.95,1.3,2.19
636589,96.17,468.46,3.99,24.42
640062,26.27,238.85,15.54,4.62
715495,29.71,219.22,7.56,10.2
715421,68.04,594.1,23.77,34.23
716432,12.37,658.01,44.75,50.3
716437,24.52,188.29,7.27,8.99
639535,89.07,563.7,17.19,14.6
652417,82.46,465.69,7.27,20.05
794538,15.52,484.91,41.09,24.42
648320,5.1,320.24,17.9,34.25
769774,45.47,509.68,11.57,53.36
649931,41.72,324.82,11.57,14.52
661925,45.76,360.08,17.22,7.66
660228,7.4,86.09,5.14,4.61
715447,55.76,566.11,19.15,45.43
715543,10.91,170.13,14.79,2.32
641975,19.09,251.69,6.0,30.42
652423,53.47,484.07,25.22,13.96
660306,23.39,435.58,11.43,57.89
715424,34.9,322.83,6.66,33.12
662670,8.63,138.58,11.18,3.61
716195,15.34,133.79,6.38,5.24
663559,54.67,358.11,8.26,19.34
633942,36.33,175.11,2.79,4.53
715521,10.26,376.33,30.07,19.57
716276,87.81,424.95,2.38,13.14
658509,8.0,58.24,2.43,3.28
782622,41.18,416.98,20.53,27.91
664547,20.64,152.39,3.13,12.6
661340,29.98,321.65,12.69,22.04
715385,115.73,881.33,32.75,35.19
716406,34.7,240.08,7.76,10.84
658579,68.14,494.34,23.76,13.35
765011,21.54,440.58,36.29,12.3
647875,65.96,416.13,14.5,7.98
157344,50.79,724.7,49.83,27.22
639851,36.87,734.56,40.39,55.67
633921,18.46,301.22,14.45,25.18
660405,103.45,555.61,7.33,23.13
637162,32.14,222.26,10.22,6.08
716221,63.29,649.59,36.48,25.36
632252,5.54,30.37,0.45,1.89
982371,70.96,420.26,9.49,16.47
632244,4.65,311.86,9.64,50.39
655235,42.83,513.3,34.5,18.34
1095753,66.99,564.81,29.26,19.82
633344,4.95,433.09,21.33,51.74
715573,68.7,810.53,45.86,33.67
716361,83.3,704.56,14.96,57.45
664090,26.99,593.8,24.31,67.0
651977,71.53,445.41,5.15,29.53
636602,42.39,251.7,6.49,8.73
661259,18.35,523.46,28.45,47.0
716423,35.13,294.38,13.83,8.63
634548,72.28,401.78,1.76,25.55
646651,78.08,720.58,25.85,46.44
792072,9.06,62.98,2.3,2.87
632269,42.38,353.84,17.74,8.2
659143,21.79,456.13,29.15,27.43
715533,12.49,512.32,28.72,49.62
640921,51.89,503.77,8.76,55.61
639411,5.46,417.84,21.94,43.31
646043,73.79,416.87,5.81,23.05
975070,49.52,345.99,7.81,25.41
636608,57.41,482.08,23.27,15.34
715391,49.24,311.77,3.78,24.33
716330,81.86,462.19,6.21,30.76
636230,13.56,120.87,5.08,7.16
652393,70.65,419.51,3.77,26.37
640117,107.87,1117.39,53.81,57.37
644826,26.81,350.81,14.52,30.96
642085,74.99,357.62,4.47,9.1
662968,36.2,167.78,1.12,4.87
659109,45.08,439.42,18.74,25.67
646738,22.31,195.44,9.7,6.59
633221,20.08,156.19,7.55,3.46
659135,43.98,492.77,18.34,38.46
647016,43.95,193.17,0.32,4.81
637876,1.13,112.66,2.73,18.28
716342,10.07,523.01,34.58,41.95
638420,6.99,91.06,4.86,5.2
638308,18.34,684.76,55.31,32.79
638086,18.14,346.76,6.29,51.78
638174,54.67,401.42,7.91,28.79
638125,8.71,595.22,40.56,46.81
667707,24.95,687.31,44.82,41.45
638257,53.42,387.82,5.97,27.73
637999,39.71,705.13,47.15,35.45
638148,51.13,412.98,10.48,27.45
637942,38.3,482.88,16.49,42.3
638002,25.16,485.66,24.66,38.56
638263,62.85,448.16,8.67,27.66
638035,13.27,412.06,19.73,42.94
638166,10.1,613.34,42.48,44.62
636682,5.63,276.09,14.55,30.14
630484,30.65,311.97,5.21,38.62
918033,32.2,326.7,10.12,27.96
638231,0.6,289.3,19.06,27.18
991010,16.67,342.03,11.24,40.71
638316,97.34,654.05,13.37,37.2
1096273,6.68,339.43,24.51,23.64
638218,10.06,169.39,8.76,13.36
638272,73.71,604.72,13.94,40.04
716330,81.86,462.19,6.21,30.76
638199,41.82,366.77,9.61,26.9
638343,19.41,328.92,20.48,17.72
638292,17.35,341.93,20.16,21.82
637904,22.87,203.72,7.28,13.21
638073,51.42,483.69,18.32,30.28
637898,42.75,382.19,7.69,33.48
1096162,4.1,326.55,23.69,19.65
638488,1.66,137.0,3.01,24.33
637926,31.01,300.1,15.55,11.76
637996,78.93,672.11,15.21,53.09
637897,84.28,629.02,18.03,37.33
638389,86.39,878.26,29.62,64.88
638235,81.04,610.44,10.53,45.75
715394,26.43,285.78,11.96,17.06
637932,16.2,417.14,29.61,23.1
638108,11.15,59.79,0.74,3.03
982376,57.19,681.19,30.96,43.93
638074,55.21,520.5,23.55,22.21
637902,28.22,343.16,10.1,34.36
1096242,70.34,847.87,33.66,57.65
638085,6.48,158.44,10.35,7.64
1096060,27.33,845.44,44.75,87.66
637890,46.22,295.15,6.36,13.58
638249,52.42,656.97,25.22,52.17
1095990,35.67,272.46,7.47,14.98
1095763,7.47,340.17,24.23,22.93
673436,19.21,120.11,5.27,1.91
638252,67.12,776.66,34.38,46.83
638409,32.99,485.55,24.31,34.13
795751,52.66,647.15,26.0,51.75
638382,101.1,695.67,15.8,46.37
637908,81.79,615.59,13.66,42.82
638026,12.81,188.33,11.48,8.81
638190,3.24,53.36,2.85,3.98
637883,69.46,729.8,34.48,32.58
637966,65.2,506.89,18.63,20.17
638131,20.27,473.11,26.88,39.38
715522,12.7,710.49,34.89,87.2
638385,1.49,340.42,15.71,45.74
1096226,26.63,378.53,18.99,30.77
638248,94.89,814.66,31.88,39.84
638381,39.73,546.18,33.38,23.21
638375,4.6,582.18,47.43,23.5
1096021,60.28,754.49,40.27,42.84
638038,15.21,661.66,34.99,66.39
638219,16.13,171.87,3.49,19.45
638454,7.42,208.63,6.4,29.17
638408,28.89,761.72,47.5,41.47
637930,59.37,697.72,30.65,36.93
638245,44.04,394.49,13.75,22.53
631738,6.38,256.73,11.07,32.88
1096299,20.95,454.26,32.94,16.63
638453,3.46,227.04,12.65,24.67
638365,23.18,548.51,37.1,32.42
638088,101.96,696.42,9.5,44.07
638186,85.47,925.43,38.04,45.4
638315,32.66,312.19,13.39,18.51
638455,14.05,624.39,43.86,42.53
638431,22.57,667.07,40.46,53.02
638288,0.12,18.33,0.74,2.66
638396,94.32,904.31,43.82,43.45
637923,87.61,884.27,17.8,87.94
638071,8.31,434.34,31.08,25.38
637919,17.04,337.2,18.48,28.9
1095829,2.94,544.83,40.56,39.79
801377,5.93,714.98,53.05,53.78
638236,43.55,426.91,15.56,29.16
638289,13.12,351.77,9.34,50.65
637924,21.93,347.73,11.84,38.33
780000,11.09,537.7,42.08,33.66
652834,3.68,311.8,24.86,20.11
634476,15.21,478.31,29.24,37.1
634481,68.95,548.87,18.89,24.3
641897,7.92,288.14,15.94,27.11
642929,57.98,440.73,5.16,36.05
4273,7.02,111.0,1.32,16.99
642927,27.81,397.47,20.35,25.09
642941,20.94,382.92,21.42,29.84
642977,63.11,750.6,31.42,46.08
631894,84.65,849.84,37.98,40.74
648974,51.92,490.83,9.65,49.81
663108,17.23,391.05,20.36,36.96
632983,12.54,412.01,26.37,33.32
641123,74.78,614.37,6.05,64.36
716369,89.81,721.51,39.59,11.15
652080,26.28,194.83,2.86,15.03
639658,18.28,333.63,13.16,35.08
655733,23.81,401.32,25.49,18.7
645710,24.04,536.93,31.65,39.19
658585,9.12,175.9,14.74,3.34
645714,86.09,704.64,22.31,49.49
645711,40.76,580.22,22.53,53.71
654403,33.58,437.64,32.0,7.68
663175,2.5,21.06,1.1,0.78
657598,23.14,482.83,35.28,25.68
652848,27.92,228.95,5.88,7.82
649512,0.34,90.53,4.14,12.41
640117,107.87,1117.39,53.81,57.37
639413,26.6,385.6,20.27,26.57
660015,1.47,127.26,5.22,18.29
632043,4.29,262.5,25.92,3.43
659750,58.28,466.9,8.97,36.06
652824,60.03,343.69,2.66,18.45
649262,13.45,504.74,40.23,27.5
646427,34.23,352.49,12.97,30.4
652708,23.55,496.71,22.74,51.01
638772,7.32,222.88,4.21,36.77
647371,0.15,0.61,0.01,0.04
634458,31.02,189.5,5.58,3.12
157399,62.74,1026.26,57.42,76.57
639855,8.11,353.86,11.76,51.89
637283,6.26,334.23,20.9,30.46
640461,21.59,181.03,6.09,9.33
660697,18.51,665.49,18.14,100.79
641943,24.27,207.68,8.54,8.18
642998,60.94,681.63,24.04,46.68
639752,93.72,841.33,31.33,47.06
6687,0.77,164.51,13.32,8.57
650523,88.01,843.3,37.81,39.73
633123,5.49,120.98,8.83,6.46
1463207,37.0,706.27,55.22,16.91
662694,29.24,552.38,28.43,43.08
1055613,8.85,130.95,9.22,4.0
715396,20.08,334.53,24.48,10.2
645903,5.68,276.27,12.41,33.85
654417,4.62,198.44,8.24,16.04
640054,7.1,251.12,16.8,17.79
650112,22.11,265.52,20.22,4.97
716408,32.25,367.59,12.57,28.44
649703,4.25,17.95,0.08,0.23
648758,5.74,357.35,26.41,24.51
637285,51.64,825.09,58.72,27.4
662089,56.24,728.28,40.39,34.31
635712,47.97,513.03,22.38,25.38
654469,4.83,619.04,49.03,34.55
640166,16.52,411.9,26.18,26.88
657095,48.54,446.46,15.87,28.04
663151,44.6,359.15,7.46,27.3
640321,68.8,522.46,18.43,24.53
631751,5.46,287.96,25.63,9.64
640323,5.01,68.8,3.93,3.23
654566,32.08,247.35,3.33,22.06
657090,52.89,484.44,3.95,44.61
659907,56.49,465.23,11.84,31.1
652753,16.83,423.97,29.1,4.21
644357,5.73,127.19,1.89,21.09
633638,20.29,995.36,81.21,36.26
641128,31.82,746.13,33.63,63.74
645824,9.17,113.03,1.42,16.53
633157,18.7,357.07,32.69,4.53
635859,3.59,68.8,0.52,11.8
633324,14.31,566.8,44.3,27.05
633774,53.6,604.81,9.87,59.74
663933,3.67,426.66,8.58,79.12
663931,46.51,632.43,35.19,34.78
659081,12.78,624.99,34.34,65.68
661570,2.1,232.98,4.59,43.6
632021,3.1,117.48,4.32,16.5
661218,23.7,233.08,4.11,24.12
652763,12.78,160.24,7.21,2.12
652758,7.46,78.59,0.31,1.88
665348,6.14,209.25,8.64,24.97
654435,1.28,485.11,37.82,33.91
645354,47.07,547.4,27.53,28.64
652774,10.38,172.99,3.89,10.8
682619,64.58,416.69,8.14,20.32
648923,47.18,597.51,39.11,14.21
634165,37.87,285.16,4.73,23.79
1098288,18.59,319.94,20.89,18.32
643789,78.65,692.98,31.29,26.73
663177,8.72,207.76,8.6,21.02
642096,3.0,261.7,15.49,23.32
636256,8.07,322.35,18.48,28.96
648279,70.22,460.35,2.93,38.29
649225,35.59,763.16,32.56,78.76
649196,2.62,138.47,6.38,17.23
649248,20.05,880.02,67.66,46.29
649199,57.1,422.46,15.29,20.46
649182,50.71,318.45,8.31,11.56
649186,25.85,318.53,9.6,26.6
649214,21.59,286.27,22.86,3.69
157834,35.89,695.81,46.25,33.2
649178,70.27,961.25,64.04,20.81
649187,65.22,591.01,23.42,33.52
716338,10.07,615.64,52.69,28.19
649195,31.79,613.89,36.9,37.65
649183,1.13,372.55,33.43,16.64
651180,8.5,527.19,25.97,63.15
660961,37.9,850.06,50.96,57.13
641079,28.76,476.51,31.3,19.8
635834,12.88,345.74,12.13,44.2
657710,4.74,536.17,48.59,19.06
654432,6.67,491.85,43.3,20.62
660290,17.84,567.0,24.06,67.4
644889,27.31,620.1,39.06,43.26
1096265,20.58,855.96,68.47,40.36
632901,17.5,351.71,7.65,46.44
665550,3.54,384.72,18.13,50.29
633932,12.98,886.44,74.5,37.59
1098301,76.35,630.43,14.64,41.02
1697565,4.01,567.21,26.91,74.04
641973,1.71,389.49,14.75,59.2
642091,36.34,625.26,40.53,28.73
1052360,30.42,356.44,9.72,34.65
649254,5.81,334.41,32.0,7.09
654313,43.22,337.85,12.73,15.68
646071,50.28,496.01,22.63,22.05
649403,22.61,584.91,41.42,31.7
57810,58.54,936.72,47.85,53.2
637275,33.37,502.7,24.02,37.02
664828,37.71,316.57,8.13,22.04
651076,3.77,580.95,49.67,25.51
651914,25.66,410.38,28.82,13.87
663121,25.74,636.85,51.23,21.02
648774,7.64,738.26,58.01,44.14
1095880,60.43,851.73,54.09,32.42
636096,40.47,819.67,59.27,31.31
655771,10.26,235.84,10.84,23.67
511748,37.46,340.24,14.5,16.03
636062,52.75,346.06,13.01,7.56
636066,5.67,37.22,1.2,0.9
636080,17.13,123.52,6.33,0.78
636026,59.56,1162.48,83.06,43.3
1096243,63.41,300.39,4.21,4.63
641185,41.56,343.02,13.57,12.92
661984,29.94,638.61,44.76,30.72
658134,26.46,368.2,22.39,14.39
716433,32.42,127.75,0.82,1.16
663853,31.27,229.43,9.44,4.94
1096256,30.99,328.61,20.77,7.01
1017374,4.83,126.12,7.7,9.23
715497,68.8,440.37,9.87,20.42
634141,27.79,167.82,3.8,8.04
636458,1.08,213.0,19.36,8.0
647043,42.98,309.58,15.59,6.59
1096058,40.22,714.1,49.13,30.16
1095895,28.1,208.38,7.87,7.18
636199,31.25,269.21,11.28,13.15
640636,50.23,639.12,40.16,22.45
662515,52.27,341.85,13.17,4.43
633219,26.11,140.14,3.03,2.89
643942,77.03,360.2,3.63,7.15
662581,27.75,332.38,20.77,9.71
661251,8.34,142.26,10.11,6.25
1096170,44.05,264.3,7.05,8.67
644882,18.13,249.4,15.05,10.37
1697715,0.82,142.25,11.7,8.18
1095962,1.09,74.81,5.44,5.31
632614,31.15,273.25,15.24,5.06
655212,44.83,252.11,5.93,6.87
659396,39.86,619.28,40.81,23.63
1095779,26.76,363.61,20.27,19.94
664054,16.28,550.82,39.29,32.13
636087,65.93,485.68,18.6,13.37
633205,16.05,296.74,15.02,26.54
640194,18.83,443.04,31.79,24.58
633202,41.74,331.7,17.55,4.86
634006,70.81,578.93,31.89,5.11
641978,6.07,112.91,9.07,3.69
1095835,42.03,203.82,1.4,5.59
1499853,25.0,148.5,5.71,0.03
650498,5.23,40.03,1.57,1.55
1095931,42.99,407.86,17.3,24.34
636392,54.68,374.36,13.98,13.18
1096269,15.06,98.03,4.7,0.97
1095797,36.31,332.52,17.18,6.34
639120,37.55,193.8,3.73,6.06
650650,15.14,308.01,21.46,13.45
1646939,35.88,271.27,12.76,5.45
658300,69.03,591.3,29.05,13.21
1095748,93.7,665.44,28.89,13.68
643514,5.05,316.56,25.73,16.55
643450,48.98,305.74,9.14,8.03
1096257,99.26,545.47,13.89,8.98
644860,33.12,365.46,24.91,5.41
636962,14.36,118.19,4.64,5.46
637184,21.43,144.09,5.46,3.72
650239,7.92,335.8,25.0,20.62
633970,69.71,535.32,26.17,7.78
1096166,16.33,260.53,14.12,17.29
1098347,47.52,306.26,11.75,4.42
643153,21.63,146.56,4.15,5.16
1161746,29.56,172.02,4.37,4.54
1096183,47.41,296.91,10.34,6.95
1096246,26.81,608.33,48.99,16.77
1096067,4.81,305.36,24.98,16.41
639594,14.43,197.5,8.96,13.78
1095713,5.73,149.71,13.47,1.48
644045,14.94,95.33,2.98,3.58
638604,90.04,523.64,13.69,17.05
655313,21.64,178.1,9.05,5.85
649824,29.77,158.77,3.49,4.04
639728,32.46,332.3,23.62,4.23
1095888,34.11,182.58,2.43,6.85
639482,74.51,609.24,32.75,7.26
650377,17.57,1028.27,82.55,53.8
638936,102.21,601.7,16.93,11.59
638775,24.72,180.22,6.69,5.48
1697671,83.38,600.62,26.54,8.07
637478,5.02,174.64,13.59,8.92
635413,20.35,91.97,0.39,2.05
1697655,71.64,521.18,23.42,7.41
1459207,29.45,217.85,8.4,5.9
1697783,66.71,547.73,21.59,21.91
665307,16.14,144.91,6.68,4.26
1444543,65.25,541.24,23.14,18.87
640398,13.7,78.09,2.0,1.52
655195,8.12,40.65,0.26,2.23
663680,4.76,213.31,14.6,15.33
637776,31.74,144.05,0.75,4.12
655698,23.88,270.99,14.98,10.28
641781,26.52,135.09,3.09,2.33
663756,59.62,370.96,13.09,5.5
652238,36.61,212.28,5.98,5.13
656486,14.32,163.39,8.41,9.86
1697567,64.32,371.25,11.84,5.53
1096262,65.4,475.21,21.84,8.71
662303,40.74,184.79,1.91,3.12
650377,17.57,1028.27,82.55,53.8
662584,36.12,223.1,7.78,3.89
729530,45.24,276.14,9.62,4.17
1095748,93.7,665.44,28.89,13.68
639594,14.43,197.5,8.96,13.78
1444543,65.25,541.24,23.14,18.87
653371,36.28,345.41,18.28,8.74
632570,39.22,304.41,15.03,4.9
636588,65.49,433.68,11.48,15.72
655239,66.99,534.43,23.1,21.03
1697823,30.53,641.14,51.59,16.31
640194,18.83,443.04,31.79,24.58
798400,23.47,130.74,2.28,7.01
646043,73.79,416.87,5.81,23.05
716364,50.96,624.26,33.86,30.8
660290,17.84,567.0,24.06,67.4
641122,34.5,156.84,0.9,4.21
642468,47.47,252.87,1.84,16.26
658482,87.13,430.53,7.77,10.47
641128,31.82,746.13,33.63,63.74
633088,34.4,587.13,18.94,69.56
641111,55.42,658.84,20.44,61.09
650484,24.71,559.61,43.48,22.16
652542,85.26,531.64,15.3,16.74
649199,57.1,422.46,15.29,20.46
651726,26.15,663.66,33.3,65.17
641908,8.79,371.31,20.0,38.39
637422,81.45,661.39,27.59,28.87
637391,27.87,507.86,21.17,53.53
632983,12.54,412.01,26.37,33.32
640234,75.16,436.28,8.21,16.36
661740,59.93,296.03,1.75,15.68
631752,29.94,216.56,5.58,12.16
654371,70.64,625.84,10.45,61.1
640656,23.11,144.45,3.93,6.65
651180,8.5,527.19,25.97,63.15
661287,108.9,654.96,18.11,14.33
657598,23.14,482.83,35.28,25.68
648758,5.74,357.35,26.41,24.51
644167,33.55,466.69,16.03,45.11
652026,36.62,231.77,4.98,11.03
647830,41.59,400.44,19.9,16.72
716338,10.07,615.64,52.69,28.19
661072,24.31,496.68,45.14,7.57
638389,86.39,878.26,29.62,64.88
1096225,57.12,487.21,23.27,9.73
650871,19.85,118.89,4.9,1.23
648774,7.64,738.26,58.01,44.14
634579,41.25,464.56,19.69,30.4
651911,25.55,514.27,31.66,32.47
650673,28.07,620.98,35.56,47.88
633649,21.89,265.13,17.28,7.75
637426,13.79,94.11,4.01,1.73
658058,28.46,253.93,11.48,10.07
638496,36.5,272.16,12.12,9.23
663824,25.32,544.86,33.8,34.59
637264,7.33,432.87,24.2,45.19
716202,12.53,78.7,1.45,4.19
773676,15.43,206.02,14.91,5.27
654373,4.4,285.51,22.5,17.65
663090,27.81,232.79,8.47,9.75
654313,43.22,337.85,12.73,15.68
664861,12.26,220.36,18.26,3.93
642283,30.33,265.86,14.0,11.11
1096230,24.44,262.32,16.16,7.96
658967,4.59,159.0,3.76,25.46
650378,16.53,682.54,52.87,34.64
649000,7.56,270.02,9.45,37.16
663074,19.33,423.68,27.42,28.19
1096306,48.35,482.98,28.46,15.41
651337,16.37,559.82,38.7,35.44
721185,41.79,307.97,12.62,11.99
641123,74.78,614.37,6.05,64.36
651914,25.66,410.38,28.82,13.87
641904,16.25,187.62,8.82,11.23
663092,11.08,216.76,15.19,8.37
635601,24.89,486.22,37.77,14.86
663868,22.49,431.93,27.36,27.64
658068,20.72,112.92,0.73,6.91
647680,13.96,531.55,35.06,39.57
651184,12.76,318.53,24.52,13.4
641110,15.63,564.34,39.47,35.85
642941,20.94,382.92,21.42,29.84
652598,8.19,377.12,22.64,35.19
654532,29.9,539.97,40.3,18.5
646123,17.52,465.12,39.57,14.34
663144,29.87,332.17,16.13,20.12
640621,10.35,570.12,49.77,22.87
657095,48.54,446.46,15.87,28.04
647795,11.61,148.14,11.0,3.41
660185,72.08,610.0,26.21,23.14
644376,56.18,461.94,21.68,9.95
769533,11.21,202.29,14.77,7.91
633650,75.31,784.21,48.15,14.39
641958,15.64,69.69,0.77,2.76
642499,18.42,318.21,17.45,22.92
157459,30.24,273.08,9.88,15.69
640634,20.44,347.88,30.25,4.36
658347,22.89,125.05,2.48,4.71
636488,29.64,653.04,57.05,11.92
650606,18.47,370.26,23.32,22.12
773671,10.83,191.66,15.63,5.04
627874,8.72,96.21,0.76,13.73
639803,3.69,140.37,6.62,17.76
664575,5.02,50.69,2.93,1.64
645769,14.57,204.52,15.96,2.83
652834,3.68,311.8,24.86,20.11
660959,5.92,42.48,0.93,2.91
651186,37.76,198.5,2.59,5.3
1450327,51.52,446.07,20.69,13.21
627875,12.45,102.88,4.02,4.69
659204,9.02,107.38,5.53,6.07
